address, amount staked, amount to refund 
kujira1xh0emdly8tjyaasrjl5urpfvazqwrkmlqwncl5, 1, XXX
kujira1pv8u5y23yq6kvqr4rdxx9hgcqz0dkrgv7n87wu, 99, XXX
kujira1m5atd6fm6zh3rtekjrtetve2c5es6f9ep6m4hy, 102, XXX
kujira1w0heqnzhrwzlhd7jy5u3zd2v4qtxpmp5ged7eg, 76, XXX
kujira1jlkrfnfxhmrytjhhjv6c02d54gkprwkm8vd00t, 199, XXX
kujira1wkg2l5mkuxn7sxewr95ns6qvyvwmyzxkqne6gm, 2, XXX
kujira1e8fy3lmz9c9jg0l6d2mn39gd2k0e9tcl29ep5e, 15, XXX
kujira1vm56f85thvtpfjp3n6depz6wdmswc5a7def9mp, 30, XXX
kujira1lslfzngda2y0y33vvmyhaxmr030evys0l9wh39, 103, XXX
kujira1zmk6sh6ahvg6wt0ckqvdxuszm77jdpk6ued8yr, 16, XXX
kujira1gj0e7nv83lvg9pm3cg8jz2wd3xc9llrkppsp66, 2, XXX
kujira1e8wqaa4fa7dy72mcvqzfxtgp4ecf3ql0mk83h4, 99, XXX
kujira1ywwtwyplulhtwuq8hma9r4aex094pmk5hsqt9x, 3, XXX
kujira1xpjg827ngjzcncygel8y553f6f5mln48ujrtp9, 104, XXX
kujira1akkdutqp92ae9njq3j6v7nzdge3au4ldgheewd, 102, XXX
kujira1z04ckk6433ajstmkm039kfmlc57v0vzzd7mhzp, 1, XXX
kujira1w4yxvw0fhn0j63lpzjf3tk9z8atdztawwcxewd, 294, XXX
kujira1vkthfcdhnn4uvz83q29vwkx2qpzjmpued8z5tc, 100, XXX
kujira1el8gq0sw456jdjxxlxvvdtxv4zw3emy9dlpwc5, 1, XXX
kujira1cqdhr7arcezmkhy32qzsqsjvq2rheuhxdp9tt3, 15, XXX
kujira18tmkvruqsz3xjwzsh94yjr2jrnl8v7scutd0zk, 99, XXX
kujira1p3ulywc9ckcdyjyp03ex4gptasxg003d8hkn7t, 100, XXX
kujira1yxgefa7h4hnta2cfglm2e7r5cnlwpkxfzlhmcg, 108, XXX
kujira1w2kw29sr8w3afajtv0hv8hyhl8zksxj0fh7e4h, 1, XXX
kujira1mcrnf2n2vmmut5j7upluehstxh4yenztx4gl6g, 3, XXX
kujira1rsdq2dwgfhqn3e242l55e86gj7x8yyajhjrc5k, 99, XXX
kujira1nkwwh4t3xxzhp97ezjj9h3tyh4x93atpwedy0j, 99, XXX
kujira1sghuvfprzlgpjr2d8kgt3uz20p588cvd52lttu, 1309, XXX
kujira1uym3mu9xsdvykvr320aefkp6vh78mgvawszkg5, 113, XXX
kujira1tyj3ls8w296a2pjn3ysyrjf9v0q0gfjy8tmkkw, 49, XXX
kujira1tf0c69prx6zzk3xtgukradmr2gfn3xjsdj2252, 35, XXX
kujira1dcfc7usggxup7lz7ysk976c334mnzjq992dw3z, 2, XXX
